,cid,text,time,author,channel,votes,photo,heart
0,Ugwq3XDRkg38pLrTHCB4AaABAg,Super song,9 hours ago,Sanjay Y,UCgHON47L-TZOPNcKHUk7e3g,0,https://yt3.ggpht.com/ytc/AAUvwnj34mM6i9oQOnvVNAfZhhJGjr2wZpU3bBu7Qg=s176-c-k-c0x00ffffff-no-rj,False
1,UgzERL9HcsZoFbB8Qld4AaABAg,Semma bgm helavi voice tha best,9 hours ago,Sanjay Y,UCgHON47L-TZOPNcKHUk7e3g,0,https://yt3.ggpht.com/ytc/AAUvwnj34mM6i9oQOnvVNAfZhhJGjr2wZpU3bBu7Qg=s176-c-k-c0x00ffffff-no-rj,False
2,UgzuOi1-cZfrAFtccIt4AaABAg,Nalla irrukku,9 hours ago,Sanjay Y,UCgHON47L-TZOPNcKHUk7e3g,0,https://yt3.ggpht.com/ytc/AAUvwnj34mM6i9oQOnvVNAfZhhJGjr2wZpU3bBu7Qg=s176-c-k-c0x00ffffff-no-rj,False
3,UgzCc9DFQUC2jFsB3Od4AaABAg,Heart touching yaa,9 hours ago,Sanjay Y,UCgHON47L-TZOPNcKHUk7e3g,0,https://yt3.ggpht.com/ytc/AAUvwnj34mM6i9oQOnvVNAfZhhJGjr2wZpU3bBu7Qg=s176-c-k-c0x00ffffff-no-rj,False
4,Ugzc7aMh6-Tr_49Ub2x4AaABAg,Intha helavi voicesum music best,9 hours ago,Sanjay Y,UCgHON47L-TZOPNcKHUk7e3g,0,https://yt3.ggpht.com/ytc/AAUvwnj34mM6i9oQOnvVNAfZhhJGjr2wZpU3bBu7Qg=s176-c-k-c0x00ffffff-no-rj,False
5,Ugw8Ecl6KsHudn0I5fx4AaABAg,Intha helavi mattum padalanna avvolatha,9 hours ago,Sanjay Y,UCgHON47L-TZOPNcKHUk7e3g,0,https://yt3.ggpht.com/ytc/AAUvwnj34mM6i9oQOnvVNAfZhhJGjr2wZpU3bBu7Qg=s176-c-k-c0x00ffffff-no-rj,False
6,UgwwqEsvvtgHV1ia4qh4AaABAg,😁😁😁😁😁😁😁😁😁,9 hours ago,Sanjay Y,UCgHON47L-TZOPNcKHUk7e3g,0,https://yt3.ggpht.com/ytc/AAUvwnj34mM6i9oQOnvVNAfZhhJGjr2wZpU3bBu7Qg=s176-c-k-c0x00ffffff-no-rj,False
7,UgwNac3DU1DTq_RutQZ4AaABAg,Vera level bass 🔥🔥🔥,8 hours ago,Joker Plays,UCjnfWYVVXQYGlnpmzEeIJWw,0,https://yt3.ggpht.com/ytc/AAUvwnhqP7jpnM2vy1q-e-OMDSDajGkAvhzCvAqmqUgtNg=s176-c-k-c0x00ffffff-no-rj,False
8,Ugz2jvq_mGrw07CjhMZ4AaABAg,പടം തീയേറ്ററിൽ നിന്നു കണ്ടവർക്ക് ഈ പാട്ടിന്റെ ഫീൽ ഒന്നു വേറെ തന്നെ ആയിരിക്കും...🔥,8 hours ago,PR Rahul,UCAmrqwlwbowo9sLG3B8SVBw,0,https://yt3.ggpht.com/ytc/AAUvwngVnKpc1AhwWaJVkTn20BXPxONJQZLl2M7Oj9nFrA=s176-c-k-c0x00ffffff-no-rj,False
9,UgzVRjDT9fKlUPT87_d4AaABAg,தமிழ் அழகு. அதை விட எங்கள் பாடல் அழகோ அழகு. என்ன தவம் செய்தானோ என் அம்மா என்னை தமிழ் மண்ணில் பெற்று எடுத்ததற்கு! அவளுக்கு மற்றும் பெறுமை இல்லை தமிழனாய் பிறந்த நாம் அனைவரும் பாக்கிய சாலிகள். என் தமிழ் பாடலுக்கு இணையாக வேறு எதாவது இசை இவ்வூலகில் உண்டா?,6 hours ago,jeya selvam,UC4EAQKP006OzKjf2iYS6Hig,0,https://yt3.ggpht.com/ytc/AAUvwniUWlApJaxhVG5Okdi9wvbVIWfj5-RC0PqWF5au=s176-c-k-c0x00ffffff-no-rj,False
